,id,name,brewery_type,city,postal_code,country,longitude,latitude,phone,website_url,state,street
52,4dcaeaa3-d7cc-4016-9392-5bde4e3a8f4d,1st republic brewing co,micro,essex junction,05452-3879,united states,,,8028575318,http://www.1strepublic-homebrew.com,vermont,39 river rd ste 6
53,9046adec-ed04-4c60-8043-4a02e9e2dabc,2 basset brewery,micro,white sulphur springs,59645-9081,united states,-110.9004865,46.54807609,4065472337,http://www.2bassetbrewery.com,montana,202 e main st
54,8436b02b-9a06-474c-b5eb-8ff9aedf1f99,2 dogz and a guy brewing,micro,montrose,18801-1271,united states,-75.8800318,41.8336364,5704320069,http://2dogzandaguybrewing.com,pennsylvania,228 church st
55,2005a2bb-0f89-4520-8553-f79cf0b4c909,2 feet brewing company,brewpub,bangor,04401-6319,united states,-68.77283099,44.80012684,2075731979,http://www.2feetbrewing.com,maine,80 columbia st
56,6948c755-a504-42f9-88e8-d04d027731e5,2 row brewing,micro,midvale,84047-1083,united states,-111.9007652,40.5950202,8019878663,http://www.2rowbrewing.com,utah,6856 s 300 w
57,fb2460bb-d6bb-4690-a700-f0b5628cc7dd,2 silos brewing company,micro,manassas,20109,united states,,,7034202257,http://www.2silosbrewing.com,virginia,9925 discovery blvd
58,836cb05e-ee8f-4798-859e-fe0bedb0186a,2 tones brewing co.,micro,whitehall,43213-1308,united states,-82.9118174,40.0030689,,http://www.2tonesbrewingco.com,ohio,4539 e broad st
59,5ec3b488-48bd-49a7-9828-05bd90195cd5,2 tread brewing co,brewpub,santa rosa,95401-6399,united states,-122.7167729,38.4387767,4152330857,http://www.2treadbrewing.com,california,1018 santa rosa plz
60,8624d11b-8593-49a8-89b4-c46a0f111cd7,2 way brewing company,brewpub,beacon,12508-2512,united states,-73.9809868,41.5082102,8452027334,http://www.2waybrewingcompany.com,new york,18 w main st
61,5cda93ce-6b16-4374-9d43-bb4383be0187,2 witches winery and brewing company,micro,danville,24541-3545,united states,-79.42125553,36.58590349,4345492739,http://www.2witcheswinebrew.com,virginia,209 trade st
62,64a48d9e-08e9-45e3-83ca-f00d24bb7e49,20 corners brewing llc,brewpub,woodinville,98072-8437,united states,-122.1517007,47.76864301,4253755223,http://www.20cornersbrewing.com,washington,14148 ne 190th st ste a
63,c018299b-db2d-438b-b58c-ecaa0f07a0df,210 brewing co,brewpub,arlington,98223-9056,united states,-122.18421,48.215096,3604749740,http://www.angelofthewind.com,washington,3438 stoluckquamish ln
64,00fdce16-e1dd-4678-87f2-45550f9083e1,212 brewing company,contract,davenport,13750,united states,,,2123779050,,new york,21476 route 23
65,46a8ed58-5d1a-413e-871e-d2d29d6d43f0,217 brew works,micro,wilson,27893-4911,united states,-77.9120318,35.7227625,2529916959,,north carolina,217 south st s
66,63baab9a-b561-4eff-8619-f95290a61b77,21st amendment brewery,regional,san leandro,94577-2334,united states,-122.1772928,37.71130036,5105952111,http://www.21st-amendment.com,california,2010 williams st unit a
67,8f9621dc-da98-4ddb-82a1-039c9e2b3224,21st amendment brewery cafe,brewpub,san francisco,94107-1411,united states,-122.3925769,37.782448,4153690900,http://www.21st-amendment.com,california,563 2nd st
68,84337872-75da-4cdd-9f8f-1e1691f21642,21st st brewers bar,brewpub,saint louis,63103,united states,-90.213781,38.624291,3142416969,http://www.21stbrew.com,missouri,2017 chouteau ave
69,2711c5ad-83cb-4917-932e-b8bbf1a25ffb,23 brewing company / lizzie b's cafe,brewpub,prestonsburg,41653-9103,united states,,,6068862844,http://www.23brewingcompany.com,kentucky,2010 ky route 321
70,e05dc493-284f-4ece-995e-19899398f077,238 brewing company,closed,mead,99021,united states,,,5092382739,http://www.238brewing.com,washington,10321 e day mt spokane rd
71,c70c8ad5-4bfa-4b2a-a383-7e7d15e0baf9,23rd street brewery,brewpub,lawrence,66047-2145,united states,-95.28093353,38.9429674,7858562337,http://www.brew23.com,kansas,3512 clinton pkwy
72,6751228c-5373-4a54-8d68-72df6849a437,26 degree brewing company,micro,pompano beach,33062-4940,united states,-80.1224169,26.2316338,9545326964,,florida,2600 e atlantic blvd
74,7d13ee75-e7e3-4623-862a-43a18dd6a1ae,2c family brewing co.,micro,nampa,83651-3957,united states,-116.559282,43.578989,2084753981,,idaho,1215 1st st s
75,5fdcc498-f9df-4fa5-b35d-487a59f0fecc,2kids brewing company,micro,san diego,92126-6391,united states,-117.137429,32.896584,8584805437,http://www.2kidsbrewing.com,california,8680 miralani dr ste 123
76,be0ec266-d637-42e4-94ba-4ce21e456054,2nd shift brewing co,brewpub,saint louis,63110-1924,united states,-90.280526,38.621943,6187910728,http://www.2ndshiftbrewing.com,missouri,1601 sublette ave
77,fb8eee34-da8a-42b2-bc4c-77020024a7f0,2nd story brewing company,brewpub,philadelphia,19106-4700,united states,,,2673145770,http://www.2ndstorybrewing.com/,pennsylvania,117 chestnut st frnt
78,3cf2698f-4193-4591-aab3-a8ef0fbedcab,2sp brewing company,micro,aston,19014-2909,united states,,,4844837860,http://www.2spbrewing.com,pennsylvania,120 concord rd
79,9fdb80f1-a96f-4dc4-80a2-5b0d9a246916,3 beards beer company,contract,williamsburg,01096,united states,-72.7305059,42.3923659,6173837039,http://www.3beardsbeer.com,massachusetts,4 main st
80,065200ec-51cf-4612-b1b9-61f7db489c3c,3 daughters brewing,micro,saint petersburg,33712-1240,united states,-82.6629721,27.76899022,7274956002,http://www.3dbrewing.com,florida,222 22nd st s
82,a1887b5a-0c21-43cf-9547-527b7c11dcf4,3 freaks brewing co,micro,highlands ranch,80126-3926,united states,-104.9426656,39.5659575,7202990994,http://www.3freaksbrewery.com,colorado,7140 e county line rd
83,a74744eb-ca98-43c5-9199-09df39f8b400,3 iron brewing company,micro,colton,92324-3920,united states,-117.3066993,34.05616889,9095334892,http://www.3ironbrewingco.com,california,898 via lata ste a
84,1218736c-bfcf-4b95-b473-7399aaf60d1d,"3 keys brewing company, llc",brewpub,bradenton,34208-2421,united states,-82.53393502,27.49645026,9412180396,http://www.3keysbrewing.com,florida,2505 manatee ave e
85,ed387340-ea78-4f65-9de0-15e2da50371e,3 nations brewing,micro,farmers branch,75234-4714,united states,-96.89883128,32.93044336,4696607184,http://www.threenationsbrewing.com,texas,2405 squire pl ste 200
86,a8fda9a9-026b-4b15-86b9-62b4ccb126c1,3 sheeps brewing co,micro,sheboygan,53083-4620,united states,-87.73006524,43.77384561,9209469715,http://www.3sheepsbrewing.com,wisconsin,1837 north ave
87,5595bb24-e2b8-4a6e-9f0b-451fac8dd903,3 sheets brewery,micro,albany,97321,united states,,,5416190183,http://www.3sheetsbrewery.com,oregon,136 w 1st ave
88,e2ddeea8-03d4-43e7-bfd0-d27797b9d016,3 sons brewing co.,proprietor,dania,33004-2870,united states,-80.14361029,26.04800238,9546013833,http://www.3sonsbrewingco.com,florida,236 n federal hwy
89,bd8b76ca-a70a-4363-96cb-24f1d0118a74,3 stars brewing co,micro,washington,20012-2111,united states,,,2026700333,http://www.3starsbrewing.com,district of columbia,6400 chillum pl nw ste b
90,cb56e27e-d113-4f74-925a-69305a56d082,3 trails brewing co,micro,independence,64050,united states,-94.41265,39.122385,8168866256,http://www.3trailsbrewing.com,missouri,111 n main st
91,6c5dabed-6a59-4610-abc9-b1e958393186,30 mile brewing co.,closed,old saybrook,06475-1518,united states,,,8603395238,http://www.30milebrewingco.com,connecticut,39 ragged rock rd unit 5
92,2f6062af-4d6f-42b2-b4ad-626cf01a1fec,300 suns brewing company,brewpub,longmont,80501-5958,united states,,,,http://www.300sunsbrewing.com,colorado,335 1st ave unit c
93,3b0b5b9b-f6d8-49e3-8ebd-0bcef6939bcd,32 north brewing co,closed,san diego,92121-2258,united states,-117.1649842,32.88313237,,,california,8655 production ave ste a
94,a964a343-e4f1-40d8-9353-09ef9b74f513,34 degree north experiment station,micro,shallotte,28470,united states,-78.38636517,33.97270364,,,north carolina,4802 main st
95,098595c2-f606-40b4-9b49-195f73fb6fd6,350 brewing co,brewpub,tinley park,60477-3933,united states,-87.79160288,41.55864726,7088257339,http://www.350brewing.com,illinois,7144 183rd st
97,55de8d28-4231-4497-8ff7-3031e7bb3be5,38 state brewing,micro,littleton,80122-2730,united states,,,7206383678,http://www.38statebrew.com,colorado,8071 s broadway ste a
99,dfa3f8fc-21cf-443d-ba8d-8adfc6873852,38â°-75â° brewing,brewpub,rehoboth beach,19971,united states,-75.090191,38.7074994,3022278519,,delaware,2000 coastal highway ste 105
100,842d193f-7a1b-4960-86f8-7d6614884005,3cross fermentation cooperative,micro,worcester,01603,united states,-71.83057593,42.24364875,5086158195,http://www.3cross.coop,massachusetts,4 knowlton ave
101,4f70ac94-eca5-4cec-8581-92ec5afdf4f2,3halves brewing co,brewpub,liberty,64068-2374,united states,-94.4190247,39.2461993,8164296886,http://www.3halvesbrewingco.com,missouri,110 e kansas st
102,694547f5-28fd-4363-bad6-03b6eaf0f1dd,3rd degree brewhouse,micro,fuquay varina,27526,united states,-78.794223,35.5914556,9192015457,http://www.facebook.com/3rddegreebrewhouse/,north carolina,1625 n main st
103,370fdc3b-55a0-43f0-a54e-f617a7cec7b8,3rd planet brewing,micro,niceville,32578-2053,united states,,,8505029952,http://www.facebook.com/3rdplanetbrewing/,florida,120 partin dr n
104,3c9354c5-4d21-40a8-8e53-8f2f9b5e043b,3rd rock brewing company,micro,trenton,28585-9593,united states,-77.36749285,35.06939877,2526319213,http://www.3rockbrew.com,north carolina,134 industrial park dr
105,2eed7840-ec52-48b5-b22e-d9d76bd01929,3rd turn brewing,micro,louisville,40299-3702,united states,-85.56656078,38.19322725,,http://www.3rdturnbrewing.com,kentucky,10408 watterson trl
106,781bda70-39b2-4f3f-9213-9d0f44c08991,3rd wave brewing co,micro,delmar,19940-1106,united states,,,3029070423,http://www.3rdwavebrewingco.com,delaware,501 n bi state blvd
107,b72f2ce6-e062-404d-ac31-c1060db2d870,4 by 4 brewing company,micro,springfield,65804-4601,united states,-93.239889,37.147986,4178616400,http://www.4by4brewingcompany.com,missouri,2811 e galloway st ste a
108,ac2f41ed-e1e8-4586-aa78-253543db7714,4 hands brewing co,regional,saint louis,63104-3610,united states,-90.19762012,38.61526593,3144361559,http://www.4handsbrewery.com,missouri,1220 s 8th st
109,dc652569-19d7-4f63-a999-3e8d5d6798c1,4 noses brewing company,micro,broomfield,80021-2521,united states,,,7204602797,http://4nosesbrewing.com,colorado,8855 w 116th cir ste 3
110,7c669ae6-460d-476b-bc56-0b4d566a152c,4 stitch brewing co,nano,bothell,98012,united states,-122.2328187,47.82525617,2065958488,https://www.facebook.com/4stitchbeer/,washington,7 192nd st sw
112,9c3f919e-e6de-4e43-91cb-30f3e73ad591,406 brewing company,micro,bozeman,59715-2967,united states,,,4065853745,http://www.406brewingcompany.com,montana,"101 e oak st,â ste d"
114,ef60f8cf-0fdc-4ea1-aa94-09e1f869176b,412 brews,brewpub,mc kees rocks,15136-3287,united states,,,,http://www.412brews.com,pennsylvania,706 island ave
115,dad10840-28ab-4dcf-9005-bf2cc2665b5a,42 north brewing company,brewpub,east aurora,14052-1827,united states,-78.607989,42.769311,7168057500,http://www.42northbrewing.com,new york,25 pine st
116,52dd0878-928b-4b47-b7fa-602f140592ed,4204 main street brewing co,brewpub,belleville,62226,united states,-90.02053343,38.53796122,6184167261,,illinois,4204 w main st
117,eb3d0c66-bbe8-495d-a876-924f0c0cf509,450 north brewing company @ simmons winery,brewpub,columbus,47203-8106,united states,,,8125460091,http://www.450northbrewing.com,indiana,8111 e 450 n
118,6b892c61-269b-453f-acd1-b79491b0ef0b,47 hills brewing co,brewpub,south san francisco,94080-6410,united states,-122.4136168,37.64425595,6508678476,http://47hillsbrewingcompany.com,california,137 s linden ave
119,cd97aeab-a499-4c95-b20b-881bfe3ed6c8,49th state brewing co,micro,healy,99743,united states,-149.017877,63.864759,9076832739,https://www.49statebrewing.com/denali,alaska,248.4 parks hwy 5 mile
120,eaa4afea-bcb5-434c-839e-ef48fe8811d0,49th state brewing co - anchorage,brewpub,anchorage,99501-2104,united states,-149.8958196,61.2197366,9076832739,http://www.49statebrewing.com/,alaska,717 w 3rd ave
121,dbf0d7e7-4e2c-4574-9dee-791d95496811,4b's brewery,brewpub,cedaredge,81413-3339,united states,-107.925782,38.900614,9708567762,http://www.4bsbrewery.com,colorado,215 w main st
122,aea0a6f9-557e-4907-be23-d80737a071e4,4j brewing company,micro,houston,77055,united states,,,7136780776,https://4jbrewingcompany.com,texas,1348 cedar post ln.
123,53efe9e9-dbb3-4c98-ab77-61515abef2a9,4kd crick brewery,brewpub,defiance,43512-1718,united states,-84.341647,41.296252,4199562863,http://www.4kdcrickbrewery.com,ohio,211 carpenter rd
124,760e8395-f2a2-4161-9bf1-c72ed1aa6ae3,4th tap brewing cooperative,micro,austin,78758-4520,united states,-97.7118913,30.3852024,5129089817,,texas,10615 metric blvd
125,d8b4ad26-346b-40dd-8215-b0e89ace23e2,5 alarm brewing co,micro,lake mills,50450,united states,-93.53398788,43.41926615,6415922739,,iowa,211 w main st
126,c17a3e56-4d4e-405e-a21b-85f415903674,5 lakes brewing co.,brewpub,dorr,49323-9312,united states,-85.70445518,42.72497157,6163599555,http://www.5lakesbrewing.com,michigan,1638 142nd ave
128,257e9aac-7dbe-4656-b366-9d8a94c49d58,5 north brewing company,brewpub,spokane,99208,united states,-117.4328496,47.71758683,5093217818,http://5northbrewingcompany.com/,washington,6501 n cedar rd
129,f927d8d6-3151-4073-9d20-410ca617853e,5 rabbit cerveceria inc,micro,chicago,60638-6129,united states,-87.6572069,41.7595502,3128959591,http://www.5rabbitbrewery.com,illinois,6398 w 74th st
130,5c99b790-e00d-4ca6-86a5-37723f728690,5 rights brewing co,micro,marysville,98270,united states,-122.1762906,48.05156015,4253341026,http://www.5rightsbrewing.com,washington,1514 3rd st
132,80c395e8-28c8-460a-9cc5-721fcc22410f,5 seasons brewing co - prado,brewpub,sandy springs,30342-1150,united states,-84.3796711,33.9078086,4042555911,http://www.5seasonsbrewing.com,georgia,5600 roswell rd
133,baad8dd7-b295-480c-8f64-e499562a3662,5 seasons brewing co - westside,brewpub,atlanta,30318-0683,united states,,,4048753232,http://www.5seasonsbrewing.com,georgia,1000 marietta st nw ste 204
134,83d47922-0a23-4b85-9c1c-d50b9135d64a,5 stones artisan brewery,micro,new braunfels,78132,united states,-98.232345,29.711365,2103808215,,texas,11335 farm to market road 1863
135,fafc2e23-c3bf-46d3-87c0-00e92209269b,515 brewing co,micro,clive,50325-1271,united states,-93.7228408,41.599992,5156614615,http://www.515brewing.com,iowa,7700 university ave
136,7e12d827-22dc-4d07-8715-8192c9680b23,5150 brewing at the brass tap rocklin,micro,rocklin,95677-3925,united states,-121.207331,38.8047402,9162462729,http://www.brasstaprocklin.com,california,5150 commons dr ste 101
137,132540a2-23c8-4720-8c58-31292d264c4a,51st state brewing company,brewpub,kingsford,49802-3815,united states,-88.08819,45.808408,9068282167,http://www.51ststatebrewingcompany.com,michigan,115 harding ave
138,5858b701-9e27-44e6-8ab8-b950b72c4181,51st ward beer company,contract,westmont,60559-1512,united states,-87.981157,41.804494,7732205899,,illinois,323 n washington st
139,4d878d25-a8fb-49e7-93da-56d229bf46ff,54-40 brewing company,brewpub,washougal,98671-2589,united states,-122.3269349,45.56577849,3609077062,http://www.54-40brewing.com,washington,3801 s truman rd ste 1
140,126f87c3-1c6d-4ff0-b35c-c8dfa9a8e1b4,550 brewing,proprietor,aztec,87410-2110,united states,-107.9950235,36.8213739,5054861094,http://www.550brew.com,new mexico,119 e chuska st
141,4a4baf4f-921c-46c0-9130-afcc4ce4f4d2,559 local brewing,micro,clovis,93612-1183,united states,-119.7017487,36.82517171,5594731875,http://www.fresnobrewingcompany.com,california,608 4th st
142,b0d5d69d-b439-44a6-ab3e-0cbd15658dc7,56 brewing,micro,minneapolis,55418-1860,united states,,,6124040056,http://www.56brewing.com,minnesota,3055 columbia ave ne ste 102
143,f4a902c1-e5a6-43da-b3e4-a1ffc97d31a9,5770 brewery,micro,teutopolis,62467-1355,united states,-88.47806652,39.13142194,6183397841,http://www.5770brewery.com,illinois,303a w main st
146,cc8de428-9663-466c-bae8-73ad9edf0892,5th line brewing co,micro,yakima,98901,united states,-120.4930458,46.61136701,5093676300,https://5thlinebrewing.com/,washington,1015 e lincoln ave ste 106
149,e5992621-3c91-4968-b913-85972aa66fbb,"6 bears & a goat brewing company, llc",brewpub,fredericksburg,22406-1126,united states,,,54035690562,http://www.6bgbrewingco.com,virginia,1140 international pkwy
151,6f431fe7-b136-444b-84e3-3a2042903d93,6 degrees of separation,brewpub,ossining,10562-4662,united states,-73.86768188,41.15866213,9144325969,http://www.6degreesbp.com,new york,35 main st
152,ddf69cff-978e-47b6-b42e-75f102418bd0,603 brewery,micro,londonderry,03053-2286,united states,,,6036307745,http://www.603brewery.com,new hampshire,12 liberty dr unit 7
153,62871bbc-a963-4c09-9eff-eb36ade49fd7,608 brewing company,micro,la crosse,54603-3403,united states,-91.24992798856552,43.82596395589804,,http://www.608brewingcompany.com,wisconsin,83 copeland ave
154,f3e9ba4b-0246-44ac-9170-f095d19e8d64,612 brew,micro,minneapolis,55413-1471,united states,-93.2062058,45.000631,6129648939,http://www.612brew.com,minnesota,945 broadway st ne
155,af6cb069-b61a-4c69-8fd2-0a5f87c11a17,6th and la brea,brewpub,los angeles,90036,united states,-118.3440213,34.0730485,,http://www.6thlabrea.com,california,600 south la brea ave
156,6a928a00-bf8e-4481-ae27-a2a5b14f56e2,7 devils brewing co,brewpub,coos bay,97420-1642,united states,-124.2147508,43.36654751,5418083738,http://www.7devilsbrewery.com,oregon,247 s 2nd st
157,8824022a-0fd9-4727-b6fa-b7aaf65eb043,7 hermits brewing company,brewpub,eagle,81631-3186,united states,,,9704714979,http://www.7hermitsbrewing.com,colorado,po box 3186
158,e861ea88-9815-48a0-84ba-d2a1929178e7,7 hills brewing company,brewpub,dubuque,52001-4932,united states,-90.6635263,42.5045556,5635878306,http://www.7hillsbrew.com,iowa,1085 washington st
159,4e84a8d0-0d52-431e-a57a-da8977625bd2,7 locks brewing,micro,rockville,20852-1833,united states,,,3018417123,http://www.7locksbrewing.com,maryland,12227 wilkins ave
160,84c84db6-1120-4106-a5d3-fd65b9d7303d,7 mile brewery,micro,rio grande,08242,united states,,,6093657777,http://www.7milebrew.com,new jersey,3156 route 9 south ste 1-2
161,745b65a8-d682-465c-a418-0188ce5878c2,7 seas brewing co,micro,tacoma,98402-1519,united states,-122.4390379,47.242614,2535727771,http://www.7seasbrewing.com,washington,2101 jefferson ave
162,a1199657-e4a9-496b-88c3-999f9e7e97e9,7 sins brewery,micro,ripley,14775-9746,united states,-79.7497349,42.24869073,7165812090,http://www.7sinsbrewery.com,new york,10593 w main rd
