city,state,colleges
winona,minnesota,"winona state university, saint mary's university of minnesota"
annapolis,maryland,united states naval academy
manhattan,kansas,kansas state university
cedar city,utah,southern utah university
reno,nevada,university of nevada-reno
starkville,mississippi,mississippi state university
university center,michigan,saginaw valley state university
san marcos,texas,texas state university
stony brook,new york,stony brook university
sacramento,california,california state university-sacramento
bellingham,washington,western washington university
bethlehem,pennsylvania,"lehigh university, moravian college"
durham,north carolina,"duke university, north carolina central university"
providence,rhode island,"brown university, providence college, rhode island college, johnson & wales university-providence"
bozeman,montana,montana state university
castine,maine,maine maritime academy
greenville,north carolina,east carolina university
grand junction,colorado,colorado mesa university
cheney,washington,eastern washington university
burlington,vermont,"champlain college, university of vermont"
appleton,wisconsin,lawrence university
huntington,west virginia,marshall university
stevens point,wisconsin,university of wisconsin-stevens point
denton,texas,"university of north texas, texas woman's university"
louisville,kentucky,"university of louisville, bellarmine university, spalding university, sullivan university"
long beach,california,california state university-long beach
fullerton,california,"california state university-fullerton, hope international university"
wilmington,north carolina,"platt college-miller-motte-wilmington, university of north carolina wilmington"
richardson,texas,the university of texas at dallas
pembroke,north carolina,university of north carolina at pembroke
mount pleasant,michigan,central michigan university
cedar falls,iowa,university of northern iowa
platteville,wisconsin,university of wisconsin-platteville
lubbock,texas,"texas tech university, lubbock christian university"
cortland,new york,suny cortland
newark,new jersey,"new jersey institute of technology, rutgers university-newark"
terre haute,indiana,indiana state university
san luis obispo,california,california polytechnic state university-san luis obispo
normal,illinois,illinois state university
phoenix,arizona,"arizona state university-downtown phoenix, university of phoenix-arizona, grand canyon university"
moscow,idaho,university of idaho
hattiesburg,mississippi,"university of southern mississippi, william carey university"
ellensburg,washington,central washington university
nashville,tennessee,"vanderbilt university, belmont university, lipscomb university, tennessee state university, trevecca nazarene university"
cullowhee,north carolina,western carolina university
lewisburg,pennsylvania,bucknell university
ruston,louisiana,louisiana tech university
salisbury,maryland,salisbury university
hammond,louisiana,southeastern louisiana university
river falls,wisconsin,university of wisconsin-river falls
chattanooga,tennessee,the university of tennessee-chattanooga
arcata,california,humboldt state university
medford,massachusetts,tufts university
greensboro,north carolina,"guilford college, university of north carolina at greensboro, north carolina a & t state university"
